Building,Metric,GRU,LSTM,Transformer,VMD_Optuna_TCN
Wolf,MAE,10.294484447497949,13.50142906553605,13.255731610129862,13.651235872903465
Wolf,RMSE,15.105887927084249,20.085861288974236,18.42639184397965,17.717958016065673
Wolf,MAPE,4.800625611519894,6.232424269843113,5.998723707908344,6.2817843630259285
Wolf,SMAPE,4.677217578109021,5.99593704023291,5.774702620117171,6.01381461996151
Wolf,R2,0.9674590311517156,0.9424667535366634,0.9515806932270996,0.9552322467491868
Bull,MAE,1.2478694904863443,1.4051011105236806,1.0883147205096555,0.531535905350894
Bull,RMSE,1.869694677356148,2.004111930371596,1.7351295080642026,0.8868009725434994
Bull,MAPE,6.436495188186118,6.692187876484228,5.586095737990412,2.6621831341483624
Bull,SMAPE,6.12665183040198,6.910785911449352,5.322145139153281,2.625202829375105
Bull,R2,0.4380172467077099,0.3543077837423874,0.5159999623033391,0.8735747195294368
Robin,MAE,7.642969325004795,9.07529830254974,8.145045857120696,6.992814277871401
Robin,RMSE,10.39232807797161,12.097922997465949,10.540774421775648,8.822631999479617
Robin,MAPE,5.744397293516955,6.582219029893867,6.227788889080246,5.384618079543867
Robin,SMAPE,5.63926261535068,6.438358566825031,6.00832038698414,5.241245812497209
Robin,R2,0.9397416143838012,0.9183392382350084,0.9380078307441988,0.9565701704820514
Fox,MAE,4.240506053157881,4.220844356218974,4.659655176938749,2.5832246053480814
Fox,RMSE,5.854361271726525,5.749665804559805,6.062589828641561,3.410949677563025
Fox,MAPE,4.925825423317116,4.9488765026048345,5.622284056431711,3.041945089694485
Fox,SMAPE,4.845217779307802,4.845365752973411,5.40185221759307,3.021070962842315
Fox,R2,0.8629047798460323,0.8677643727316828,0.8529789066763117,0.9534613373173596
Rat,MAE,5.618450103869625,6.519910188480919,5.115901410918609,3.988672652950672
Rat,RMSE,8.04050660850925,8.931849100216434,7.491274049218829,5.495292127149202
Rat,MAPE,16.43592995822575,17.621437534912378,14.583316110387356,10.64408986674862
Rat,SMAPE,14.845421420927366,17.906392350263957,13.1285062427538,10.369652878458089
Rat,R2,0.8442998156656389,0.8078656326110838,0.864844516612529,0.927271627551953
Eagle,MAE,3.243649065477708,3.262787687129601,3.447654519092336,1.8516748939514092
Eagle,RMSE,4.092029227900474,4.213049927314052,4.300004347537131,2.351189054839712
Eagle,MAPE,9.59137806826506,9.199758986448376,10.444777577068514,5.264203309791263
Eagle,SMAPE,9.370401644673086,9.39326761515547,9.921602938941476,5.279793447697852
Eagle,R2,0.6040606641222469,0.5802947441308695,0.562791108580496,0.8692847376496556
