Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Learning_Rate,Seed,Best_Optuna_LR
GRU,1,0.13139213200793373,0.04884073405376391,0.04884073405376391,1,0.0001,42,
GRU,2,0.05166291075140456,0.0411597035936304,0.0411597035936304,1,0.0001,42,
GRU,3,0.04628828063306872,0.036260257501996664,0.036260257501996664,1,0.0001,42,
GRU,4,0.04341851473852917,0.035348270022230455,0.035348270022230455,1,0.0001,42,
GRU,5,0.04089623876982567,0.0332400339626077,0.0332400339626077,1,0.0001,42,
GRU,6,0.038533359273681116,0.03224039178653724,0.03224039178653724,1,0.0001,42,
GRU,7,0.03695135155971709,0.029989291349560604,0.029989291349560604,1,0.0001,42,
GRU,8,0.03571983823314671,0.0295939757742954,0.0295939757742954,1,0.0001,42,
GRU,9,0.034817117705354166,0.028712661170047858,0.028712661170047858,1,0.0001,42,
GRU,10,0.03405933660031409,0.028922916053023124,0.028712661170047858,0,0.0001,42,
GRU,11,0.033233840581229315,0.028340520364390893,0.028340520364390893,1,0.0001,42,
GRU,12,0.032680093486329595,0.02717086118404593,0.02717086118404593,1,0.0001,42,
GRU,13,0.03230311211511711,0.027465499258213184,0.02717086118404593,0,0.0001,42,
GRU,14,0.03157088016230226,0.02765595504729778,0.02717086118404593,0,0.0001,42,
GRU,15,0.030703914249371318,0.02823148510358638,0.02717086118404593,0,0.0001,42,
GRU,16,0.030246667897322763,0.02750134303478076,0.02717086118404593,0,0.0001,42,
GRU,17,0.029516814917580243,0.025987667426971145,0.025987667426971145,1,0.0001,42,
GRU,18,0.0290875809680563,0.026684201328803423,0.025987667426971145,0,0.0001,42,
GRU,19,0.028609778943027495,0.027763708370837855,0.025987667426971145,0,0.0001,42,
GRU,20,0.028200644543680285,0.025895491701762554,0.025895491701762554,1,0.0001,42,
GRU,21,0.02769822709964596,0.026417268170494786,0.025895491701762554,0,0.0001,42,
GRU,22,0.027346140626763334,0.02588315825650521,0.02588315825650521,1,0.0001,42,
GRU,23,0.027153021016679074,0.028440892367199405,0.02588315825650521,0,0.0001,42,
GRU,24,0.026582653748799,0.026287986562238075,0.02588315825650521,0,0.0001,42,
GRU,25,0.026396391829889586,0.025875044347116016,0.025875044347116016,1,0.0001,42,
LSTM,1,0.14687059514149442,0.051299253338590305,0.051299253338590305,1,0.0001,42,
LSTM,2,0.05071027865876545,0.039057710243757725,0.039057710243757725,1,0.0001,42,
LSTM,3,0.04539048786143261,0.036680348390918355,0.036680348390918355,1,0.0001,42,
LSTM,4,0.041921445115013334,0.03446508431628365,0.03446508431628365,1,0.0001,42,
LSTM,5,0.03931155422168297,0.031218349015015995,0.031218349015015995,1,0.0001,42,
LSTM,6,0.03757330116466459,0.032356076437877426,0.031218349015015995,0,0.0001,42,
LSTM,7,0.03618112291485426,0.03191726887568835,0.031218349015015995,0,0.0001,42,
LSTM,8,0.0350526271484352,0.03017162151163668,0.03017162151163668,1,0.0001,42,
LSTM,9,0.034126533672769875,0.02892136109794002,0.02892136109794002,1,0.0001,42,
LSTM,10,0.03322748178479646,0.029032231693276452,0.02892136109794002,0,0.0001,42,
LSTM,11,0.03259223668639383,0.02798357441760727,0.02798357441760727,1,0.0001,42,
LSTM,12,0.0313862586876892,0.027954065699925736,0.027954065699925736,1,0.0001,42,
LSTM,13,0.030525035873325085,0.029184458699383704,0.027954065699925736,0,0.0001,42,
LSTM,14,0.029286889344636406,0.027819216427684892,0.027819216427684892,1,0.0001,42,
LSTM,15,0.02862853765491084,0.02774570712812941,0.02774570712812941,1,0.0001,42,
LSTM,16,0.027923205420093297,0.02759085651262625,0.02759085651262625,1,0.0001,42,
LSTM,17,0.027020003535049707,0.028900125683777974,0.02759085651262625,0,0.0001,42,
LSTM,18,0.026640067713192665,0.02752557077412112,0.02752557077412112,1,0.0001,42,
LSTM,19,0.02594056473515904,0.027237757481793544,0.027237757481793544,1,0.0001,42,
LSTM,20,0.02552898548435944,0.029208740531371544,0.027237757481793544,0,0.0001,42,
LSTM,21,0.02521938686500134,0.02815343312709155,0.027237757481793544,0,0.0001,42,
LSTM,22,0.024599488458561615,0.02793430962715832,0.027237757481793544,0,0.0001,42,
LSTM,23,0.0243246166301747,0.026933101916663052,0.026933101916663052,1,0.0001,42,
LSTM,24,0.023679971138840482,0.027896459957430977,0.026933101916663052,0,0.0001,42,
LSTM,25,0.023588664311381503,0.02870849069827133,0.026933101916663052,0,0.0001,42,
Transformer,1,0.06385808308112664,0.04086446708446502,0.04086446708446502,1,0.0001,42,
Transformer,2,0.0496390227845303,0.03723009947668316,0.03723009947668316,1,0.0001,42,
Transformer,3,0.044689263493177596,0.03556392529070276,0.03556392529070276,1,0.0001,42,
Transformer,4,0.042310115454212496,0.03351896705778169,0.03351896705778169,1,0.0001,42,
Transformer,5,0.04017380216452018,0.03430090111572257,0.03351896705778169,0,0.0001,42,
Transformer,6,0.038532804530941586,0.033646589468087074,0.03351896705778169,0,0.0001,42,
Transformer,7,0.03731866723222575,0.033175580429609344,0.033175580429609344,1,0.0001,42,
Transformer,8,0.03642534152820085,0.03463354740933906,0.033175580429609344,0,0.0001,42,
Transformer,9,0.035544025049379764,0.03311017401569678,0.03311017401569678,1,0.0001,42,
Transformer,10,0.034911977619093135,0.034504990791504625,0.03311017401569678,0,0.0001,42,
Transformer,11,0.03431469177340033,0.03144411440921229,0.03144411440921229,1,0.0001,42,
Transformer,12,0.0336557552521341,0.03241767640978117,0.03144411440921229,0,0.0001,42,
Transformer,13,0.0331928781982455,0.03194247940380393,0.03144411440921229,0,0.0001,42,
Transformer,14,0.032843104868263785,0.03273909338336731,0.03144411440921229,0,0.0001,42,
Transformer,15,0.032398888947927675,0.031443905070028345,0.031443905070028345,1,0.0001,42,
Transformer,16,0.03199367212648689,0.031426740543175416,0.031426740543175416,1,0.0001,42,
Transformer,17,0.031751266294988784,0.03221062830420459,0.031426740543175416,0,0.0001,42,
Transformer,18,0.031306447722342,0.03133352548779948,0.03133352548779948,1,0.0001,42,
Transformer,19,0.030971824128796788,0.03162311155681972,0.03133352548779948,0,0.0001,42,
Transformer,20,0.030627969047033316,0.03273692160478075,0.03133352548779948,0,0.0001,42,
Transformer,21,0.030391037940895385,0.03316528969331098,0.03133352548779948,0,0.0001,42,
Transformer,22,0.030042440999312938,0.034091812505032355,0.03133352548779948,0,0.0001,42,
Transformer,23,0.029774203514906377,0.030983041047155158,0.030983041047155158,1,0.0001,42,
Transformer,24,0.02939811887529278,0.031157287721887292,0.030983041047155158,0,0.0001,42,
Transformer,25,0.029096470637425296,0.030645616063059454,0.030645616063059454,1,0.0001,42,
TCN,1,0.07477209192201106,0.04461089494529279,0.04461089494529279,1,0.0001,42,
TCN,2,0.05010701017731573,0.0464485572091202,0.04461089494529279,0,0.0001,42,
TCN,3,0.045095818645422794,0.039531924868115374,0.039531924868115374,1,0.0001,42,
TCN,4,0.04228271182201567,0.04701569619194808,0.039531924868115374,0,0.0001,42,
TCN,5,0.04055911082044018,0.03629576729790549,0.03629576729790549,1,0.0001,42,
TCN,6,0.03903763512050476,0.03683267437408713,0.03629576729790549,0,0.0001,42,
TCN,7,0.03802619192261203,0.034769560651334776,0.034769560651334776,1,0.0001,42,
TCN,8,0.03718812028274616,0.042484903116984635,0.034769560651334776,0,0.0001,42,
TCN,9,0.03648163565761737,0.031039376813364484,0.031039376813364484,1,0.0001,42,
TCN,10,0.03593097216109658,0.03338576899841428,0.031039376813364484,0,0.0001,42,
TCN,11,0.03519643129622184,0.032222098202159336,0.031039376813364484,0,0.0001,42,
TCN,12,0.03491091307814084,0.03212437313258626,0.031039376813364484,0,0.0001,42,
TCN,13,0.03444564483924997,0.030750218951584352,0.030750218951584352,1,0.0001,42,
TCN,14,0.03421276879308731,0.03550339049207517,0.030750218951584352,0,0.0001,42,
TCN,15,0.03374290333201565,0.031786297236008204,0.030750218951584352,0,0.0001,42,
TCN,16,0.033476616802019125,0.03444444360000911,0.030750218951584352,0,0.0001,42,
TCN,17,0.03308610741814417,0.03492416921365726,0.030750218951584352,0,0.0001,42,
TCN,18,0.03294709956455179,0.03668234493703035,0.030750218951584352,0,0.0001,42,
TCN,19,0.03261808731857273,0.034885376978684664,0.030750218951584352,0,0.0001,42,
TCN,20,0.03251651720179265,0.037680657917225205,0.030750218951584352,0,0.0001,42,
TCN,21,0.03211877092359006,0.03560754992071787,0.030750218951584352,0,0.0001,42,
TCN,22,0.03191078341008427,0.02965788780793042,0.02965788780793042,1,0.0001,42,
