Model,Dataset,Building,Abs_Error
VMD_Optuna_TCN,cross,Hog,0.5791863142848044
VMD_Optuna_TCN,cross,Hog,1.218638872146606
VMD_Optuna_TCN,cross,Hog,1.5154499540328956
VMD_Optuna_TCN,cross,Hog,0.7147313575744647
VMD_Optuna_TCN,cross,Hog,0.9799842157363869
VMD_Optuna_TCN,cross,Hog,0.9899718303680416
VMD_Optuna_TCN,cross,Hog,1.3112771333456053
VMD_Optuna_TCN,cross,Hog,1.0418032671213027
VMD_Optuna_TCN,cross,Hog,0.30538559830188916
VMD_Optuna_TCN,cross,Hog,0.15011278720199073
VMD_Optuna_TCN,cross,Hog,0.770979267194889
VMD_Optuna_TCN,cross,Hog,0.4606670150756855
VMD_Optuna_TCN,cross,Hog,0.18800448608398312
VMD_Optuna_TCN,cross,Hog,0.37678995537757487
VMD_Optuna_TCN,cross,Hog,0.35879976224899224
VMD_Optuna_TCN,cross,Hog,0.5936231220364618
VMD_Optuna_TCN,cross,Hog,0.9020962691307091
VMD_Optuna_TCN,cross,Hog,0.32808556652069853
VMD_Optuna_TCN,cross,Hog,1.2555764518976247
VMD_Optuna_TCN,cross,Hog,0.599882294178002
VMD_Optuna_TCN,cross,Hog,0.43043036794662726
VMD_Optuna_TCN,cross,Hog,1.0917111840248097
VMD_Optuna_TCN,cross,Hog,0.21310166513919881
VMD_Optuna_TCN,cross,Hog,1.1893810474872595
VMD_Optuna_TCN,cross,Hog,0.0068651000671096085
VMD_Optuna_TCN,cross,Hog,0.34233238029479907
VMD_Optuna_TCN,cross,Hog,0.1146242371201538
VMD_Optuna_TCN,cross,Hog,0.0973570339679739
VMD_Optuna_TCN,cross,Hog,0.6537210091948538
VMD_Optuna_TCN,cross,Hog,1.1169240467548391
VMD_Optuna_TCN,cross,Hog,0.4978703125715285
VMD_Optuna_TCN,cross,Hog,1.5553034743070597
VMD_Optuna_TCN,cross,Hog,0.8530171089172356
VMD_Optuna_TCN,cross,Hog,0.022107982695104056
VMD_Optuna_TCN,cross,Hog,0.5580246713161472
VMD_Optuna_TCN,cross,Hog,1.3243685855865408
VMD_Optuna_TCN,cross,Hog,0.7945379513502075
VMD_Optuna_TCN,cross,Hog,2.2129915968179716
VMD_Optuna_TCN,cross,Hog,2.4663621758222547
VMD_Optuna_TCN,cross,Hog,2.481083900451665
VMD_Optuna_TCN,cross,Hog,1.7884155482053785
VMD_Optuna_TCN,cross,Hog,1.5388445940017732
VMD_Optuna_TCN,cross,Hog,0.9831246022284006
VMD_Optuna_TCN,cross,Hog,1.650578581333157
VMD_Optuna_TCN,cross,Hog,0.6448850788324947
VMD_Optuna_TCN,cross,Hog,0.3362335757343118
VMD_Optuna_TCN,cross,Hog,0.7863138065338262
VMD_Optuna_TCN,cross,Hog,0.36028014938533204
VMD_Optuna_TCN,cross,Hog,0.22091546603292045
VMD_Optuna_TCN,cross,Hog,0.04639653646945874
VMD_Optuna_TCN,cross,Hog,0.17294266059994357
VMD_Optuna_TCN,cross,Hog,0.07283804291486717
VMD_Optuna_TCN,cross,Hog,1.7766525939851974
VMD_Optuna_TCN,cross,Hog,0.5974404285550108
VMD_Optuna_TCN,cross,Hog,0.7221146580576914
VMD_Optuna_TCN,cross,Hog,1.4889118128418914
VMD_Optuna_TCN,cross,Hog,0.5370481047928308
VMD_Optuna_TCN,cross,Hog,0.49543875892460676
VMD_Optuna_TCN,cross,Hog,1.2655506873727091
VMD_Optuna_TCN,cross,Hog,0.4965521575212506
VMD_Optuna_TCN,cross,Hog,0.33367924007775684
VMD_Optuna_TCN,cross,Hog,0.3680702509879836
VMD_Optuna_TCN,cross,Hog,0.4466409593224512
VMD_Optuna_TCN,cross,Hog,0.11295201849937087
VMD_Optuna_TCN,cross,Hog,0.3165012315735254
VMD_Optuna_TCN,cross,Hog,0.3823762759566307
VMD_Optuna_TCN,cross,Hog,1.0216393070816991
VMD_Optuna_TCN,cross,Hog,0.062598955333236
VMD_Optuna_TCN,cross,Hog,0.23173007714749616
VMD_Optuna_TCN,cross,Hog,0.041814851764591765
VMD_Optuna_TCN,cross,Hog,0.2690678826570476
VMD_Optuna_TCN,cross,Hog,0.9357002682685831
VMD_Optuna_TCN,cross,Hog,0.12930412504076827
VMD_Optuna_TCN,cross,Hog,0.47722463893890676
VMD_Optuna_TCN,cross,Hog,0.033422980308529304
VMD_Optuna_TCN,cross,Hog,0.19496267265081713
VMD_Optuna_TCN,cross,Hog,0.923848570466042
VMD_Optuna_TCN,cross,Hog,0.1841734742522121
VMD_Optuna_TCN,cross,Hog,1.5866577851772306
VMD_Optuna_TCN,cross,Hog,0.9756746380329133
VMD_Optuna_TCN,cross,Hog,1.6698038482666036
VMD_Optuna_TCN,cross,Hog,0.08220675539969591
VMD_Optuna_TCN,cross,Hog,1.0762547245025615
VMD_Optuna_TCN,cross,Hog,0.35800732946395897
VMD_Optuna_TCN,cross,Hog,0.8292388070225769
VMD_Optuna_TCN,cross,Hog,0.6178127398490858
VMD_Optuna_TCN,cross,Hog,0.8521336506307193
VMD_Optuna_TCN,cross,Hog,1.9468067345619176
