number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.0353044533496961,2026-07-03 13:29:23.471207,2026-07-03 13:29:36.468665,0 days 00:00:12.997458,0.00758272644981285,COMPLETE
1,0.03663717368228278,2026-07-03 13:29:36.468719,2026-07-03 13:29:48.012504,0 days 00:00:11.543785,0.0007467622883481457,COMPLETE
2,0.032990115741585654,2026-07-03 13:29:48.012547,2026-07-03 13:29:59.747701,0 days 00:00:11.735154,0.004589256804801612,COMPLETE
3,0.029755625474992217,2026-07-03 13:29:59.747745,2026-07-03 13:30:10.989050,0 days 00:00:11.241305,0.0033057094655629476,COMPLETE
4,0.038039863070899405,2026-07-03 13:30:10.989091,2026-07-03 13:30:21.869126,0 days 00:00:10.880035,0.0001986566296593142,COMPLETE
5,0.04687259849643656,2026-07-03 13:30:21.869167,2026-07-03 13:30:32.754862,0 days 00:00:10.885695,0.00010827077672779924,COMPLETE
6,0.029999442500560528,2026-07-03 13:30:32.754903,2026-07-03 13:30:43.712039,0 days 00:00:10.957136,0.0009041303635260831,COMPLETE
7,0.034420864207395145,2026-07-03 13:30:43.712078,2026-07-03 13:30:54.945798,0 days 00:00:11.233720,0.005893673058767753,COMPLETE
8,0.03516828252019284,2026-07-03 13:30:54.945843,2026-07-03 13:31:05.899110,0 days 00:00:10.953267,0.0002558859398007562,COMPLETE
9,0.041586525223707406,2026-07-03 13:31:05.899150,2026-07-03 13:31:16.900487,0 days 00:00:11.001337,0.0047815845383445375,COMPLETE
