Model,Dataset,Building,Seed,MAE,RMSE,MAPE,SMAPE,R2
TCN,test,Wolf,42,16.336215182940165,22.731946032863867,7.484557011897383,7.458909301833959,0.9263095522688642
TCN,holdout,Wolf,42,20.61665511566916,28.955454131017042,10.57720007944541,9.705388704605394,0.8600729502880763
TCN,test,Bull,42,3.8617015492682363,4.312061294534418,20.14392975955686,17.840087610241646,-1.989175785316708
TCN,holdout,Bull,42,4.701474731351122,5.105034285960005,24.502621277523918,21.326755059819707,-1.154174234188707
TCN,test,Robin,42,10.038717423134402,12.719365776991435,7.825825615576227,7.511169660301842,0.9097343095458296
TCN,holdout,Robin,42,11.740621928288624,16.943507174261494,10.383261186753668,9.233154354593468,0.7904446193643943
TCN,test,Fox,42,6.60319240729014,8.141062587438137,8.30669725360376,7.806159344218839,0.7348903953395605
TCN,holdout,Fox,42,6.992749472488592,8.33998688815009,10.741184731126289,9.738325830782248,0.4174361336819913
TCN,test,Rat,42,8.319872434513242,10.675916927621325,26.72054083094841,22.130843739226503,0.7255061163577863
TCN,holdout,Rat,42,5.880144497906721,7.217234033612716,24.36349450083318,20.725532091638822,0.5087981560583714
TCN,test,Eagle,42,5.270918603801727,6.293345609960244,16.690743922527343,14.988655231584852,0.06348581242481555
TCN,holdout,Eagle,42,6.671351596154107,6.987905601377215,20.927335748780358,18.805144070025527,-2.0031851879445144
TCN,cross,Hog,42,10.34996463588326,10.951069355547798,15.799205021393808,14.50799811940243,-2.5172623474274105
