Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points
GRU,test,Wolf,10.350709914506648,230.0921774326706,15.168789583637535,4.848953199836465,4.7180173015175955,0.9671874625405472,66.8471,0.0346,3264
GRU,holdout,Wolf,11.95308545289216,301.78877860859586,17.372068921363276,6.005051010029253,5.824756303285555,0.9496332412813313,66.8471,0.0085,648
GRU,test,Bull,1.3152804822508806,3.70251288644115,1.9241914890262741,6.80208485121646,6.454063544265791,0.40477908511015437,66.8471,0.0339,3264
GRU,holdout,Bull,1.5420552262726606,4.176396974235911,2.0436234913104494,7.859731457698252,7.455423184862306,0.6547884855405965,66.8471,0.0079,648
GRU,test,Robin,7.614662937634555,108.0028297298297,10.392440989961392,5.723267849322079,5.625568806104637,0.9397403049695617,66.8471,0.0338,3264
GRU,holdout,Robin,6.172399746970401,93.87881966077606,9.689108300601044,5.020453054481647,4.81310854871265,0.9314733004731746,66.8471,0.0076,648
GRU,test,Fox,4.266148745920144,34.49681402631824,5.873398847883416,4.961284854314039,4.875412242215738,0.8620117005878998,66.8471,0.0337,3264
GRU,holdout,Fox,3.249945037747607,24.816320324466098,4.981598169710811,4.889659277160852,4.5810697257899955,0.7921499207258731,66.8471,0.0074,648
GRU,test,Rat,5.647053142400349,64.84779504642457,8.052812865479028,16.52720524130043,14.933812527822079,0.8438228425373587,66.8471,0.0333,3264
GRU,holdout,Rat,3.378784784740872,21.026484972773538,4.58546453184119,13.285628985964898,12.13464081222217,0.8017171791365156,66.8471,0.0075,648
GRU,test,Eagle,3.259069635886772,16.855204919852508,4.105509093870395,9.663203864318556,9.41606683853307,0.6014477795428455,66.8471,0.0335,3264
GRU,holdout,Eagle,1.5079087610683595,6.462481967683123,2.542141217100876,4.474232019715635,4.380699501036552,0.6025455182372751,66.8471,0.0073,648
GRU,cross,Hog,1.69830544754607,5.269229754212656,2.2954802883520165,2.535628628567398,2.5281637519007223,0.8454607360127202,66.8471,0.0405,4008
LSTM,test,Wolf,13.106331884440253,367.3446322892958,19.166236779537495,6.078519965517783,5.830484308244616,0.9476144315638522,95.2272,0.0471,3264
LSTM,holdout,Wolf,17.177205420129095,687.3326190239028,26.21702917997962,8.723945266777498,8.022200073534085,0.8852882590881679,95.2272,0.0104,648
LSTM,test,Bull,1.3453670931531783,3.838839863963271,1.9592957571442018,6.423609790514733,6.61679514499456,0.3828629781920553,95.2272,0.0483,3264
LSTM,holdout,Bull,1.3738065897076566,3.8000917840874098,1.9493824109413243,6.422411493042761,6.629471637429512,0.6858930202367659,95.2272,0.0101,648
LSTM,test,Robin,8.73300884575029,137.5834620053407,11.729597691538304,6.345204694861867,6.209461284805209,0.9232359237029891,95.2272,0.0479,3264
LSTM,holdout,Robin,8.529769372102372,163.7655355290774,12.79709090102424,6.899230233749481,6.56446354906319,0.8804596000823006,95.2272,0.0103,648
LSTM,test,Fox,4.21249923696705,32.9541453111255,5.740570120739359,4.927818658892058,4.834543372812077,0.8681824221044807,95.2272,0.0468,3264
LSTM,holdout,Fox,3.4445284002798573,26.089320285810594,5.107770578815242,5.155658517041009,4.835863763195577,0.7814878588479663,95.2272,0.01,648
LSTM,test,Rat,6.437862192626093,79.11198823952742,8.894492016946636,17.17943605467638,17.357189202775146,0.8094694594377188,95.2272,0.0465,3264
LSTM,holdout,Rat,3.5619427059314863,23.049129093188224,4.800950853027786,13.276701857233514,13.330246161266604,0.7826433499958829,95.2272,0.0102,648
LSTM,test,Eagle,3.215526647517261,17.134598005021605,4.139395850244527,9.14079118743672,9.239608392372316,0.5948413493627314,95.2272,0.0471,3264
LSTM,holdout,Eagle,1.315620179340949,6.287933819733623,2.507575286952243,3.756911894504806,3.7885706545641633,0.6132805491484381,95.2272,0.0106,648
LSTM,cross,Hog,1.9010273459885647,6.580950886815699,2.5653364081179877,2.8243166402122015,2.832984624231354,0.8069897586887631,95.2272,0.0563,4008
Transformer,test,Wolf,13.559832496269077,352.6589864616864,18.779216875623074,6.143686264784019,5.898357115982429,0.9497086935644615,125.263,0.0555,3264
Transformer,holdout,Wolf,12.839820645650226,312.27895686049385,17.671416379580158,6.0889520463774165,6.005990351354258,0.9478824926969567,125.263,0.0117,648
Transformer,test,Bull,1.1771159077915552,3.256892198274918,1.804686177227198,6.07159957927582,5.764505768720409,0.4764176618928265,125.263,0.0556,3264
