Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Best_Optuna_LR
GRU,1,0.1313921436629046,0.0488407092082311,0.0488407092082311,1,
GRU,2,0.05166293218376928,0.04115993730940796,0.04115993730940796,1,
GRU,3,0.046288287741495994,0.03626029286245536,0.03626029286245536,1,
GRU,4,0.04341849966650463,0.03534808782415636,0.03534808782415636,1,
GRU,5,0.04089620652230157,0.03323991605400111,0.03323991605400111,1,
GRU,6,0.03853330746177026,0.03224071965663322,0.03224071965663322,1,
GRU,7,0.03695130367659671,0.02998936820170149,0.02998936820170149,1,
GRU,8,0.035719755862507176,0.029593573182548315,0.029593573182548315,1,
GRU,9,0.03481700439202338,0.028712741776284884,0.028712741776284884,1,
GRU,10,0.03405920158328503,0.028922656200664854,0.028712741776284884,0,
GRU,11,0.03323370854460314,0.028339547888106036,0.028339547888106036,1,
GRU,12,0.03267990906739482,0.027170705298516493,0.027170705298516493,1,
GRU,13,0.032302934615188066,0.027464970264060553,0.027170705298516493,0,
GRU,14,0.031570839843031426,0.02765481081729041,0.027170705298516493,0,
GRU,15,0.030703947593535216,0.028230729010456746,0.027170705298516493,0,
GRU,16,0.030246780432489382,0.027501318610111194,0.027170705298516493,0,
GRU,17,0.02951694566067914,0.0259874814763902,0.0259874814763902,1,
GRU,18,0.02908764702540558,0.026683618177190175,0.0259874814763902,0,
GRU,19,0.028610392664552786,0.027760782905005207,0.0259874814763902,0,
GRU,20,0.02814371487598455,0.025935692430566044,0.025935692430566044,1,
GRU,21,0.0277571935412285,0.026432874878219235,0.025935692430566044,0,
GRU,22,0.027502338092030117,0.02625610375605641,0.025935692430566044,0,
GRU,23,0.027050844595464228,0.02833307089336509,0.025935692430566044,0,
GRU,24,0.026655465671839556,0.026476598378614945,0.025935692430566044,0,
GRU,25,0.02637055090577796,0.026223815212033392,0.025935692430566044,0,
LSTM,1,0.14687053419042087,0.051299845771593876,0.051299845771593876,1,
LSTM,2,0.05071026135335855,0.03905699896114027,0.03905699896114027,1,
LSTM,3,0.045390183957395164,0.03668058709795317,0.03668058709795317,1,
LSTM,4,0.04192081439034502,0.0344434026874079,0.0344434026874079,1,
LSTM,5,0.03925153152164766,0.03124924224680973,0.03124924224680973,1,
LSTM,6,0.03774679685736769,0.03211481345053794,0.03124924224680973,0,
LSTM,7,0.03619009911787043,0.03200069802951103,0.03124924224680973,0,
LSTM,8,0.035032822298926125,0.02992365846866122,0.02992365846866122,1,
LSTM,9,0.03421278966337347,0.02974360465523453,0.02974360465523453,1,
LSTM,10,0.03321193691225321,0.02862314914133473,0.02862314914133473,1,
LSTM,11,0.03260482057964875,0.027901682549564696,0.027901682549564696,1,
LSTM,12,0.031836684323519646,0.028612495526210913,0.027901682549564696,0,
LSTM,13,0.031000057927132733,0.030432809081183645,0.027901682549564696,0,
LSTM,14,0.029793958166640627,0.027975345150020876,0.027901682549564696,0,
LSTM,15,0.02891107671499505,0.028335368574426888,0.027901682549564696,0,
LSTM,16,0.027852925866376395,0.02762986797051315,0.02762986797051315,1,
LSTM,17,0.027027245919828944,0.028436068218771954,0.02762986797051315,0,
LSTM,18,0.02655607411566229,0.02750564553340223,0.02750564553340223,1,
LSTM,19,0.025737990476737124,0.027080460471012105,0.027080460471012105,1,
LSTM,20,0.02553770532281203,0.026877399456062285,0.026877399456062285,1,
LSTM,21,0.024855059648570026,0.02773168229479295,0.026877399456062285,0,
LSTM,22,0.02467655461939394,0.028046645798919877,0.026877399456062285,0,
LSTM,23,0.023913828705352583,0.02700991639327067,0.026877399456062285,0,
LSTM,24,0.02334554561004691,0.02787463126446632,0.026877399456062285,0,
LSTM,25,0.023040659688762975,0.026862677913280314,0.026862677913280314,1,
Transformer,1,0.0638588838820208,0.040859863751666434,0.040859863751666434,1,
Transformer,2,0.04958783567764046,0.03723320121830806,0.03723320121830806,1,
Transformer,3,0.04469328713178826,0.03556907427125315,0.03556907427125315,1,
Transformer,4,0.042340674394493356,0.033547230564302574,0.033547230564302574,1,
Transformer,5,0.04020327214489508,0.03432319254007305,0.033547230564302574,0,
