Model,Dataset,Building,Abs_Error
VMD_Optuna_TCN,cross,Hog,0.6183392634726275
VMD_Optuna_TCN,cross,Hog,1.3148958918693054
VMD_Optuna_TCN,cross,Hog,1.1742153622702531
VMD_Optuna_TCN,cross,Hog,1.2519958568441538
VMD_Optuna_TCN,cross,Hog,1.43771421369987
VMD_Optuna_TCN,cross,Hog,1.6467184261460517
VMD_Optuna_TCN,cross,Hog,1.9996097126393835
VMD_Optuna_TCN,cross,Hog,1.601244061625792
VMD_Optuna_TCN,cross,Hog,1.0255058607671543
VMD_Optuna_TCN,cross,Hog,0.23721455301281935
VMD_Optuna_TCN,cross,Hog,0.3639701655047247
VMD_Optuna_TCN,cross,Hog,0.09985777803930773
VMD_Optuna_TCN,cross,Hog,0.14934304833184342
VMD_Optuna_TCN,cross,Hog,0.4579936230342412
VMD_Optuna_TCN,cross,Hog,0.3946417022420974
VMD_Optuna_TCN,cross,Hog,0.9163225719590002
VMD_Optuna_TCN,cross,Hog,1.0776110938492849
VMD_Optuna_TCN,cross,Hog,0.6512337853189933
VMD_Optuna_TCN,cross,Hog,0.5900738391529217
VMD_Optuna_TCN,cross,Hog,0.5651596411896662
VMD_Optuna_TCN,cross,Hog,0.18892499124520157
VMD_Optuna_TCN,cross,Hog,0.6296316424399109
VMD_Optuna_TCN,cross,Hog,0.40871465112268623
VMD_Optuna_TCN,cross,Hog,1.0753013211757434
VMD_Optuna_TCN,cross,Hog,1.3289963083751672
VMD_Optuna_TCN,cross,Hog,1.306097758759151
VMD_Optuna_TCN,cross,Hog,1.7034523490082094
VMD_Optuna_TCN,cross,Hog,1.2852407204303873
VMD_Optuna_TCN,cross,Hog,1.2615576667204564
VMD_Optuna_TCN,cross,Hog,1.676234977596792
VMD_Optuna_TCN,cross,Hog,1.1321093745549504
VMD_Optuna_TCN,cross,Hog,0.5686868305765955
VMD_Optuna_TCN,cross,Hog,0.17821521374087013
VMD_Optuna_TCN,cross,Hog,0.6370998423828382
VMD_Optuna_TCN,cross,Hog,1.2378925050516756
VMD_Optuna_TCN,cross,Hog,1.830915439507919
VMD_Optuna_TCN,cross,Hog,1.2905759983934502
VMD_Optuna_TCN,cross,Hog,1.215333772640875
VMD_Optuna_TCN,cross,Hog,1.58932932656883
VMD_Optuna_TCN,cross,Hog,2.0987127394968184
VMD_Optuna_TCN,cross,Hog,1.215271557951425
VMD_Optuna_TCN,cross,Hog,0.23990745980037786
VMD_Optuna_TCN,cross,Hog,0.07172192084937024
VMD_Optuna_TCN,cross,Hog,0.8242894383445005
VMD_Optuna_TCN,cross,Hog,0.8487347627395891
VMD_Optuna_TCN,cross,Hog,0.5434121390304867
VMD_Optuna_TCN,cross,Hog,0.37810729908090224
VMD_Optuna_TCN,cross,Hog,0.8437216389012363
VMD_Optuna_TCN,cross,Hog,1.4843318486787709
VMD_Optuna_TCN,cross,Hog,2.0876656929405186
VMD_Optuna_TCN,cross,Hog,2.3278725771046425
VMD_Optuna_TCN,cross,Hog,2.8990886563960245
VMD_Optuna_TCN,cross,Hog,3.3760137301140247
VMD_Optuna_TCN,cross,Hog,2.6389262323921727
VMD_Optuna_TCN,cross,Hog,2.3389107803606706
VMD_Optuna_TCN,cross,Hog,2.3324931943165126
VMD_Optuna_TCN,cross,Hog,1.0595403866001192
VMD_Optuna_TCN,cross,Hog,0.17218665761831176
VMD_Optuna_TCN,cross,Hog,0.605676581608023
VMD_Optuna_TCN,cross,Hog,0.5974238552688433
VMD_Optuna_TCN,cross,Hog,0.7349599933073989
VMD_Optuna_TCN,cross,Hog,0.49634212622979135
VMD_Optuna_TCN,cross,Hog,0.32797706440021557
VMD_Optuna_TCN,cross,Hog,0.24531723839338326
VMD_Optuna_TCN,cross,Hog,0.2582136957249901
VMD_Optuna_TCN,cross,Hog,0.5102260103888625
VMD_Optuna_TCN,cross,Hog,0.8895713181428988
VMD_Optuna_TCN,cross,Hog,1.0941752208606914
VMD_Optuna_TCN,cross,Hog,1.1427952169453874
VMD_Optuna_TCN,cross,Hog,1.4108668583799115
VMD_Optuna_TCN,cross,Hog,1.4345732000471685
VMD_Optuna_TCN,cross,Hog,1.7949787596161713
VMD_Optuna_TCN,cross,Hog,1.7707841296054525
VMD_Optuna_TCN,cross,Hog,1.493049194975093
VMD_Optuna_TCN,cross,Hog,1.2990834894504033
VMD_Optuna_TCN,cross,Hog,1.386050698661748
VMD_Optuna_TCN,cross,Hog,1.3820539703655825
VMD_Optuna_TCN,cross,Hog,1.4198180237270464
VMD_Optuna_TCN,cross,Hog,1.5976644077663522
VMD_Optuna_TCN,cross,Hog,1.2054786474845542
VMD_Optuna_TCN,cross,Hog,0.7104071417698989
VMD_Optuna_TCN,cross,Hog,0.07021931960146333
VMD_Optuna_TCN,cross,Hog,0.42311843820425565
VMD_Optuna_TCN,cross,Hog,0.9417422574366441
VMD_Optuna_TCN,cross,Hog,0.778669075119879
VMD_Optuna_TCN,cross,Hog,0.3980979991185336
VMD_Optuna_TCN,cross,Hog,0.37820052334600973
VMD_Optuna_TCN,cross,Hog,0.8105769275279897
VMD_Optuna_TCN,cross,Hog,0.3494825192174602
VMD_Optuna_TCN,cross,Hog,0.7451892167614318
VMD_Optuna_TCN,cross,Hog,1.1854332870749715
VMD_Optuna_TCN,cross,Hog,1.1295297149826666
VMD_Optuna_TCN,cross,Hog,0.9927176672287814
VMD_Optuna_TCN,cross,Hog,0.8555774830593563
VMD_Optuna_TCN,cross,Hog,0.36316196467667794
VMD_Optuna_TCN,cross,Hog,0.4788916459693269
VMD_Optuna_TCN,cross,Hog,0.7696591249725557
VMD_Optuna_TCN,cross,Hog,0.8349201532760304
VMD_Optuna_TCN,cross,Hog,1.1361766645640046
VMD_Optuna_TCN,cross,Hog,1.727318607923742
VMD_Optuna_TCN,cross,Hog,1.8847551892586338
VMD_Optuna_TCN,cross,Hog,1.5364047861153622
VMD_Optuna_TCN,cross,Hog,1.4693267287714917
VMD_Optuna_TCN,cross,Hog,1.0288316813553848
VMD_Optuna_TCN,cross,Hog,0.8394425847752984
VMD_Optuna_TCN,cross,Hog,0.4847472714853467
VMD_Optuna_TCN,cross,Hog,0.45116477776770125
VMD_Optuna_TCN,cross,Hog,0.13426295877891192
VMD_Optuna_TCN,cross,Hog,0.00677732736859582
VMD_Optuna_TCN,cross,Hog,0.3324439883404011
VMD_Optuna_TCN,cross,Hog,0.5863205671143277
VMD_Optuna_TCN,cross,Hog,0.9603470340409217
VMD_Optuna_TCN,cross,Hog,1.3139703201904567
VMD_Optuna_TCN,cross,Hog,1.5762934391841341
VMD_Optuna_TCN,cross,Hog,1.491162334465706
VMD_Optuna_TCN,cross,Hog,1.400079863916332
VMD_Optuna_TCN,cross,Hog,1.5729743926663389
VMD_Optuna_TCN,cross,Hog,1.6871176018483922
VMD_Optuna_TCN,cross,Hog,1.810681721834186
VMD_Optuna_TCN,cross,Hog,1.3125514906163573
VMD_Optuna_TCN,cross,Hog,0.9439471083873627
VMD_Optuna_TCN,cross,Hog,0.5881544270971872
VMD_Optuna_TCN,cross,Hog,0.8352799202541377
VMD_Optuna_TCN,cross,Hog,0.9872344330902436
VMD_Optuna_TCN,cross,Hog,1.0440109419561097
VMD_Optuna_TCN,cross,Hog,0.9791599443143539
VMD_Optuna_TCN,cross,Hog,1.1235935665571475
VMD_Optuna_TCN,cross,Hog,1.0920747676158697
VMD_Optuna_TCN,cross,Hog,1.0378820472829773
VMD_Optuna_TCN,cross,Hog,0.874943937192775
VMD_Optuna_TCN,cross,Hog,0.8266111470664512
VMD_Optuna_TCN,cross,Hog,0.8199224051061123
VMD_Optuna_TCN,cross,Hog,0.6879051820337168
VMD_Optuna_TCN,cross,Hog,0.3881128582984772
VMD_Optuna_TCN,cross,Hog,0.9035799676743821
VMD_Optuna_TCN,cross,Hog,2.2050719579557168
VMD_Optuna_TCN,cross,Hog,2.595171733670796
VMD_Optuna_TCN,cross,Hog,2.2136845755638603
VMD_Optuna_TCN,cross,Hog,2.399244323473148
VMD_Optuna_TCN,cross,Hog,2.331635908909476
VMD_Optuna_TCN,cross,Hog,2.2282653445898006
VMD_Optuna_TCN,cross,Hog,2.5551983172172683
VMD_Optuna_TCN,cross,Hog,2.4473895467497684
VMD_Optuna_TCN,cross,Hog,1.2566765903581967
VMD_Optuna_TCN,cross,Hog,1.041919623092177
VMD_Optuna_TCN,cross,Hog,0.5435770452225555
VMD_Optuna_TCN,cross,Hog,0.7924649228837879
VMD_Optuna_TCN,cross,Hog,1.7383278606035901
VMD_Optuna_TCN,cross,Hog,1.3070407454284378
VMD_Optuna_TCN,cross,Hog,1.7449671758779886
VMD_Optuna_TCN,cross,Hog,1.7832030148992573
VMD_Optuna_TCN,cross,Hog,2.2183870365295135
VMD_Optuna_TCN,cross,Hog,2.2418118714360418
VMD_Optuna_TCN,cross,Hog,1.4982132486525614
VMD_Optuna_TCN,cross,Hog,1.259789148362188
VMD_Optuna_TCN,cross,Hog,0.3387133069265502
VMD_Optuna_TCN,cross,Hog,0.14157036222998443
VMD_Optuna_TCN,cross,Hog,0.1985672742188882
VMD_Optuna_TCN,cross,Hog,1.0223752283505831
VMD_Optuna_TCN,cross,Hog,0.9843069971831682
VMD_Optuna_TCN,cross,Hog,1.177174628413212
VMD_Optuna_TCN,cross,Hog,0.7235356059976255
VMD_Optuna_TCN,cross,Hog,0.6467029017462522
VMD_Optuna_TCN,cross,Hog,1.340794940374849
VMD_Optuna_TCN,cross,Hog,0.9136254842009635
VMD_Optuna_TCN,cross,Hog,0.7750165750650808
VMD_Optuna_TCN,cross,Hog,0.5146586748246023
VMD_Optuna_TCN,cross,Hog,0.11739551872712184
VMD_Optuna_TCN,cross,Hog,0.36090876126139193
VMD_Optuna_TCN,cross,Hog,0.12205996816135922
VMD_Optuna_TCN,cross,Hog,0.037815326298577645
VMD_Optuna_TCN,cross,Hog,0.36506609593276806
VMD_Optuna_TCN,cross,Hog,0.22979676380564484
VMD_Optuna_TCN,cross,Hog,0.036411830222824904
VMD_Optuna_TCN,cross,Hog,0.3042626576022869
VMD_Optuna_TCN,cross,Hog,0.9204826277289513
VMD_Optuna_TCN,cross,Hog,0.36167996719906625
VMD_Optuna_TCN,cross,Hog,0.7872185431701268
VMD_Optuna_TCN,cross,Hog,1.1666670566389428
VMD_Optuna_TCN,cross,Hog,0.8947591882682673
VMD_Optuna_TCN,cross,Hog,0.9609546565430236
VMD_Optuna_TCN,cross,Hog,0.9968063186227738
VMD_Optuna_TCN,cross,Hog,1.2184129335047231
VMD_Optuna_TCN,cross,Hog,1.7474760077708709
VMD_Optuna_TCN,cross,Hog,1.455602109086641
VMD_Optuna_TCN,cross,Hog,0.5907618094924629
VMD_Optuna_TCN,cross,Hog,0.19533397678640085
VMD_Optuna_TCN,cross,Hog,0.727816934465281
VMD_Optuna_TCN,cross,Hog,0.5345989156808315
VMD_Optuna_TCN,cross,Hog,0.40164591122982074
VMD_Optuna_TCN,cross,Hog,0.258359201460614
VMD_Optuna_TCN,cross,Hog,0.34740847638504135
VMD_Optuna_TCN,cross,Hog,0.7275784003908328
VMD_Optuna_TCN,cross,Hog,1.3543940499251903
VMD_Optuna_TCN,cross,Hog,1.490422805899371
VMD_Optuna_TCN,cross,Hog,1.137897460568695
VMD_Optuna_TCN,cross,Hog,1.1385682531067758
VMD_Optuna_TCN,cross,Hog,1.7384137838403078
VMD_Optuna_TCN,cross,Hog,1.7208587339517578
VMD_Optuna_TCN,cross,Hog,1.677009436991014
VMD_Optuna_TCN,cross,Hog,1.2154252547880873
VMD_Optuna_TCN,cross,Hog,0.3801184598651446
VMD_Optuna_TCN,cross,Hog,0.4291259758599182
VMD_Optuna_TCN,cross,Hog,0.35043623419933567
VMD_Optuna_TCN,cross,Hog,0.7458717932393597
VMD_Optuna_TCN,cross,Hog,0.7453331554609548
VMD_Optuna_TCN,cross,Hog,1.2571371202814845
VMD_Optuna_TCN,cross,Hog,1.5694668257077495
VMD_Optuna_TCN,cross,Hog,1.4399608240667305
VMD_Optuna_TCN,cross,Hog,0.6422763497215414
VMD_Optuna_TCN,cross,Hog,0.5125550799438514
VMD_Optuna_TCN,cross,Hog,0.570919524106742
VMD_Optuna_TCN,cross,Hog,0.8764725237044146
VMD_Optuna_TCN,cross,Hog,1.0317592889857465
VMD_Optuna_TCN,cross,Hog,0.7551006315401096
VMD_Optuna_TCN,cross,Hog,0.9739029001167481
VMD_Optuna_TCN,cross,Hog,0.7929525670420787
VMD_Optuna_TCN,cross,Hog,0.8407000201604049
VMD_Optuna_TCN,cross,Hog,0.8158838383150737
VMD_Optuna_TCN,cross,Hog,0.7939287147082581
VMD_Optuna_TCN,cross,Hog,1.0594705687858976
VMD_Optuna_TCN,cross,Hog,0.8603655936246568
VMD_Optuna_TCN,cross,Hog,0.8363728476308978
VMD_Optuna_TCN,cross,Hog,0.8072391019081877
VMD_Optuna_TCN,cross,Hog,0.5284412213639911
VMD_Optuna_TCN,cross,Hog,0.26737734296364124
VMD_Optuna_TCN,cross,Hog,1.1462345724019087
VMD_Optuna_TCN,cross,Hog,1.4236499080029006
VMD_Optuna_TCN,cross,Hog,1.5259759698988802
VMD_Optuna_TCN,cross,Hog,1.70642334257235
VMD_Optuna_TCN,cross,Hog,1.1898512150711866
VMD_Optuna_TCN,cross,Hog,1.3860933977220498
VMD_Optuna_TCN,cross,Hog,0.9895064606434545
VMD_Optuna_TCN,cross,Hog,0.241873242893206
VMD_Optuna_TCN,cross,Hog,0.4702606383648913
VMD_Optuna_TCN,cross,Hog,1.0074978382768336
VMD_Optuna_TCN,cross,Hog,0.6796747045973177
VMD_Optuna_TCN,cross,Hog,0.8825992897743973
VMD_Optuna_TCN,cross,Hog,0.7969466976616815
VMD_Optuna_TCN,cross,Hog,1.10535144295595
VMD_Optuna_TCN,cross,Hog,1.119660538043
