number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.3059367856314455,2026-06-24 14:05:41.650195,2026-06-24 14:13:28.440036,0 days 00:07:46.789841,0.001955138803252041,COMPLETE
1,0.4613230231805881,2026-06-24 14:13:28.440076,2026-06-24 14:21:16.039853,0 days 00:07:47.599777,0.009255464949424428,COMPLETE
2,0.30672901232299377,2026-06-24 14:21:16.039890,2026-06-24 14:29:03.151819,0 days 00:07:47.111929,0.0002141955316159129,COMPLETE
3,0.2961026773324958,2026-06-24 14:29:03.151856,2026-06-24 14:36:51.697304,0 days 00:07:48.545448,0.0008976741611506131,COMPLETE
4,0.3025589480190567,2026-06-24 14:36:51.697343,2026-06-24 14:44:42.132572,0 days 00:07:50.435229,0.0012541889488886804,COMPLETE
5,0.31597099794002276,2026-06-24 14:44:42.132611,2026-06-24 14:52:34.924146,0 days 00:07:52.791535,0.00015138377470071604,COMPLETE
6,0.32916132250774754,2026-06-24 14:52:34.924185,2026-06-24 15:00:31.811253,0 days 00:07:56.887068,0.003369571917214904,COMPLETE
7,0.309910135953112,2026-06-24 15:00:31.811291,2026-06-24 15:08:27.307162,0 days 00:07:55.495871,0.0002137836462975917,COMPLETE
8,0.306915777759,2026-06-24 15:08:27.307202,2026-06-24 15:16:24.255263,0 days 00:07:56.948061,0.00021815964580955532,COMPLETE
9,0.31757814747370955,2026-06-24 15:16:24.255302,2026-06-24 15:24:22.790759,0 days 00:07:58.535457,0.00012725738881792738,COMPLETE
