Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points,Seed
GRU,test,Wolf,10.294484447497947,228.18785006562962,15.105887927084247,4.800625611519894,4.677217578109021,0.9674590311517156,60.5033,0.032,3264,42
GRU,holdout,Wolf,12.082818771644876,313.65559102853587,17.710324419065167,6.105493267351482,5.895231950721102,0.947652740612385,60.5033,0.0069,648,42
GRU,test,Bull,1.2478694904863443,3.4957581865339105,1.869694677356148,6.436495188186118,6.12665183040198,0.4380172467077099,60.5033,0.0322,3264,42
GRU,holdout,Bull,1.4707748017857076,3.9460680682242137,1.9864712603569712,7.465492912124589,7.103777432768582,0.6738269512225191,60.5033,0.0068,648,42
GRU,test,Robin,7.642969325004795,108.00048288019713,10.39232807797161,5.744397293516955,5.63926261535068,0.9397416143838011,60.5033,0.0317,3264,42
GRU,holdout,Robin,6.180878138735477,93.22484769358549,9.65530153302244,5.002742726795488,4.803789431420028,0.9319506663013407,60.5033,0.0064,648,42
GRU,test,Fox,4.240506053157881,34.27354589989142,5.854361271726525,4.925825423317116,4.845217779307802,0.8629047798460323,60.5033,0.0318,3264,42
GRU,holdout,Fox,3.233218217308138,24.728619148904333,4.972787864860549,4.858740306343424,4.557394342436448,0.7928844654147961,60.5033,0.0079,648,42
GRU,test,Rat,5.618450103869625,64.64974652148092,8.04050660850925,16.43592995822575,14.845421420927366,0.8442998156656389,60.5033,0.0321,3264,42
GRU,holdout,Rat,3.345297401098558,20.73821298310544,4.553922812598545,13.133619052038679,12.023858311021938,0.8044356260553104,60.5033,0.0065,648,42
GRU,test,Eagle,3.2436490654777077,16.74470320199175,4.092029227900474,9.59137806826506,9.370401644673086,0.6040606641222469,60.5033,0.0321,3264,42
GRU,holdout,Eagle,1.4399109204829152,6.360654048699184,2.5220337128395376,4.2525635113377,4.170843386627755,0.6088081218269061,60.5033,0.0066,648,42
GRU,cross,Hog,1.6890538742994357,5.254212147905003,2.2922068292161164,2.517789990047158,2.5135296398412943,0.8459011817579034,60.5033,0.0373,4008,42
