Model,Dataset,Building,Abs_Error
VMD_TCN,cross,Hog,0.37284540800749966
VMD_TCN,cross,Hog,0.13113567733764597
VMD_TCN,cross,Hog,0.9523490125536895
VMD_TCN,cross,Hog,0.42627819585800353
VMD_TCN,cross,Hog,0.11094690179825051
VMD_TCN,cross,Hog,0.2959129948616024
VMD_TCN,cross,Hog,0.4758350820541395
VMD_TCN,cross,Hog,0.10057853228600067
VMD_TCN,cross,Hog,0.25938693308830096
VMD_TCN,cross,Hog,0.5215065478682419
VMD_TCN,cross,Hog,1.0689281771183232
VMD_TCN,cross,Hog,0.2079326221942921
VMD_TCN,cross,Hog,0.15127418172359341
VMD_TCN,cross,Hog,0.7277501244545022
VMD_TCN,cross,Hog,0.7957291536331184
VMD_TCN,cross,Hog,0.2643286751806784
VMD_TCN,cross,Hog,0.34144162148237456
VMD_TCN,cross,Hog,0.09330015385150148
VMD_TCN,cross,Hog,1.2716324381828343
VMD_TCN,cross,Hog,0.36823793196677457
VMD_TCN,cross,Hog,0.6619364473819758
VMD_TCN,cross,Hog,0.5214871708452691
VMD_TCN,cross,Hog,0.9950117567777639
VMD_TCN,cross,Hog,0.6302392029762274
VMD_TCN,cross,Hog,0.48323610198497846
VMD_TCN,cross,Hog,0.44305204081535265
VMD_TCN,cross,Hog,0.08208995819092024
VMD_TCN,cross,Hog,0.677218004345896
VMD_TCN,cross,Hog,0.3897971764206858
VMD_TCN,cross,Hog,0.18789341974258633
VMD_TCN,cross,Hog,1.06746324753761
VMD_TCN,cross,Hog,0.0011367002725606312
VMD_TCN,cross,Hog,0.1858010418415077
VMD_TCN,cross,Hog,1.0661446865051971
VMD_TCN,cross,Hog,0.9744309451580051
VMD_TCN,cross,Hog,0.5118328973054815
VMD_TCN,cross,Hog,0.20490167558193662
VMD_TCN,cross,Hog,1.4799220204949393
VMD_TCN,cross,Hog,1.007203859567639
VMD_TCN,cross,Hog,1.144570098042493
VMD_TCN,cross,Hog,0.07236534804106043
VMD_TCN,cross,Hog,0.9207155790329011
VMD_TCN,cross,Hog,0.2405587878227209
VMD_TCN,cross,Hog,1.2406869759559598
VMD_TCN,cross,Hog,0.21429927909372992
VMD_TCN,cross,Hog,0.2534885118007679
VMD_TCN,cross,Hog,1.0014743701219686
VMD_TCN,cross,Hog,0.17013374972343343
VMD_TCN,cross,Hog,0.2698889304399472
VMD_TCN,cross,Hog,0.36991187715530316
VMD_TCN,cross,Hog,0.6657893495541032
VMD_TCN,cross,Hog,0.8589321291595695
VMD_TCN,cross,Hog,0.7012397375702832
VMD_TCN,cross,Hog,0.2360020647644987
VMD_TCN,cross,Hog,0.35708644807338885
VMD_TCN,cross,Hog,0.6097506430894128
VMD_TCN,cross,Hog,0.035060033559801695
VMD_TCN,cross,Hog,0.2910725313127074
VMD_TCN,cross,Hog,1.3721930155754336
VMD_TCN,cross,Hog,1.1133380116224316
VMD_TCN,cross,Hog,0.7071799935102234
VMD_TCN,cross,Hog,1.089145311474823
VMD_TCN,cross,Hog,1.6197707563042627
VMD_TCN,cross,Hog,0.2605127595663106
VMD_TCN,cross,Hog,0.5062254977524248
VMD_TCN,cross,Hog,0.014676166698336601
VMD_TCN,cross,Hog,0.7715111719965932
VMD_TCN,cross,Hog,0.44911610007286384
VMD_TCN,cross,Hog,0.9005535577535753
VMD_TCN,cross,Hog,0.5807091959714867
VMD_TCN,cross,Hog,1.0768419048786129
VMD_TCN,cross,Hog,0.09939816665649204
VMD_TCN,cross,Hog,0.08758306403458249
VMD_TCN,cross,Hog,0.719351431608203
VMD_TCN,cross,Hog,0.8275919294357266
VMD_TCN,cross,Hog,0.8038309367895096
VMD_TCN,cross,Hog,0.08003631341457407
VMD_TCN,cross,Hog,0.6638168579191088
VMD_TCN,cross,Hog,0.3921143639087674
VMD_TCN,cross,Hog,0.4745923043489455
VMD_TCN,cross,Hog,0.4946325325965901
VMD_TCN,cross,Hog,0.8031484638452611
VMD_TCN,cross,Hog,0.7468987842798214
VMD_TCN,cross,Hog,0.6527697918415072
VMD_TCN,cross,Hog,0.08078918902576504
VMD_TCN,cross,Hog,0.22624225711822987
VMD_TCN,cross,Hog,0.08413943246006284
VMD_TCN,cross,Hog,0.6382536200284932
VMD_TCN,cross,Hog,0.48664772188664074
VMD_TCN,cross,Hog,0.08558175671100798
VMD_TCN,cross,Hog,0.07936720871925473
VMD_TCN,cross,Hog,0.0719838189184685
VMD_TCN,cross,Hog,1.1888874843716621
VMD_TCN,cross,Hog,0.44918054401874485
VMD_TCN,cross,Hog,1.3085836038589491
VMD_TCN,cross,Hog,0.1118771610260012
VMD_TCN,cross,Hog,0.040858737111094
VMD_TCN,cross,Hog,0.6999887602329267
VMD_TCN,cross,Hog,0.5471910331249248
VMD_TCN,cross,Hog,0.8005210739970181
VMD_TCN,cross,Hog,0.30176311779022313
VMD_TCN,cross,Hog,0.3702174805998837
VMD_TCN,cross,Hog,0.14191741132735558
VMD_TCN,cross,Hog,0.586819103598593
VMD_TCN,cross,Hog,0.026347964525221812
VMD_TCN,cross,Hog,0.7335583529472416
VMD_TCN,cross,Hog,0.7006062220334996
VMD_TCN,cross,Hog,1.0447573463916768
VMD_TCN,cross,Hog,1.0144237560033815
VMD_TCN,cross,Hog,1.986466073721644
VMD_TCN,cross,Hog,1.609733039617538
VMD_TCN,cross,Hog,2.0200410850793133
VMD_TCN,cross,Hog,1.3519610294699689
